"No. linea - archivo original","No. linea - archivo registros erroneos","No. columna","Nombre Columna","detalle error"
30,2,2,username_estudiante,"No existe un usuario Ases asociado al username 1723242"
42,3,1,username_monitor,"No existe un usuario asociado al username 934915"
43,4,1,username_monitor,"No existe un usuario asociado al username 934915"
44,5,1,username_monitor,"No existe un usuario asociado al username 934915"
45,6,1,username_monitor,"No existe un usuario asociado al username 934915"
46,7,1,username_monitor,"No existe un usuario asociado al username 934915"
47,8,1,username_monitor,"No existe un usuario asociado al username 934915"
48,9,1,username_monitor,"No existe un usuario asociado al username 934915"
49,10,1,username_monitor,"No existe un usuario asociado al username 934915"
50,11,1,username_monitor,"No existe un usuario asociado al username 934915"
51,12,1,username_monitor,"No existe un usuario asociado al username 934915"
53,13,2,username_estudiante,"No existe un usuario Ases asociado al username 1724872"
69,14,2,username_estudiante,"No existe un usuario Ases asociado al username 1743882"
97,15,2,username_estudiante,"No existe un usuario Ases asociado al username 1745382"
98,16,2,username_estudiante,"No existe un usuario Ases asociado al username 1748988"
99,17,2,username_estudiante,"No existe un usuario Ases asociado al username 1741185"
100,18,2,username_estudiante,"No existe un usuario Ases asociado al username 1742937"
101,19,2,username_estudiante,"No existe un usuario Ases asociado al username 1746918"
115,20,2,username_estudiante,"No existe un usuario Ases asociado al username 1731886"
116,21,2,username_estudiante,"No existe un usuario Ases asociado al username 1722443"
117,22,2,username_estudiante,"No existe un usuario Ases asociado al username 1743684"
118,23,2,username_estudiante,"No existe un usuario Ases asociado al username 1740540"
119,24,2,username_estudiante,"No existe un usuario Ases asociado al username 1740443"
120,25,2,username_estudiante,"No existe un usuario Ases asociado al username 1740126"
129,26,2,username_estudiante,"No existe un usuario Ases asociado al username 1738748"
133,27,2,username_estudiante,"No existe un usuario Ases asociado al username 1734819"
137,28,2,username_estudiante,"No existe un usuario Ases asociado al username 1742739"
138,29,2,username_estudiante,"No existe un usuario Ases asociado al username 1740071"
140,30,2,username_estudiante,"No existe un usuario Ases asociado al username 1741933"
146,31,2,username_estudiante,"No existe un usuario Ases asociado al username 1741343"
151,32,2,username_estudiante,"No existe un usuario Ases asociado al username 1746688"
156,33,2,username_estudiante,"No existe un usuario Ases asociado al username 1726921"
167,34,2,username_estudiante,"No existe un usuario Ases asociado al username 1743149"
168,35,2,username_estudiante,"No existe un usuario Ases asociado al username 1742510"
171,36,2,username_estudiante,"No existe un usuario Ases asociado al username 1748766"
172,37,2,username_estudiante,"No existe un usuario Ases asociado al username 1747950"
173,38,2,username_estudiante,"No existe un usuario Ases asociado al username 1746636"
174,39,2,username_estudiante,"No existe un usuario Ases asociado al username 1745625"
175,40,2,username_estudiante,"No existe un usuario Ases asociado al username 1743069"
176,41,2,username_estudiante,"No existe un usuario Ases asociado al username 1742535"
177,42,2,username_estudiante,"No existe un usuario Ases asociado al username 1742776"
189,43,2,username_estudiante,"No existe un usuario Ases asociado al username 1741531"
190,44,2,username_estudiante,"No existe un usuario Ases asociado al username 1743986"
191,45,2,username_estudiante,"No existe un usuario Ases asociado al username 1746781"
196,46,2,username_estudiante,"No existe un usuario Ases asociado al username 1742830"
197,47,2,username_estudiante,"No existe un usuario Ases asociado al username 1745532"
219,48,2,username_estudiante,"No existe un usuario Ases asociado al username 1741237"
220,49,2,username_estudiante,"No existe un usuario Ases asociado al username 1746866"
221,50,2,username_estudiante,"No existe un usuario Ases asociado al username 1740119"
222,51,2,username_estudiante,"No existe un usuario Ases asociado al username 1742226"
223,52,2,username_estudiante,"No existe un usuario Ases asociado al username 1742255"
231,53,2,username_estudiante,"No existe un usuario Ases asociado al username 1746659"
232,54,2,username_estudiante,"No existe un usuario Ases asociado al username 1740129"
239,55,2,username_estudiante,"No existe un usuario Ases asociado al username 6170083"
246,56,2,username_estudiante,"No existe un usuario Ases asociado al username 1746703"
247,57,2,username_estudiante,"No existe un usuario Ases asociado al username 1745083"
248,58,2,username_estudiante,"No existe un usuario Ases asociado al username 1740111"
250,59,2,username_estudiante,"No existe un usuario Ases asociado al username 1745020"
264,60,2,username_estudiante,"No existe un usuario Ases asociado al username 1770223"
269,61,2,username_estudiante,"No existe un usuario Ases asociado al username 1734245"
274,62,2,username_estudiante,"No existe un usuario Ases asociado al username 1746666"
275,63,2,username_estudiante,"No existe un usuario Ases asociado al username 1746760"
