username_monitor,username_estudiante
1528819,1723242
934915,1731819
934915,1734398
934915,1673087
934915,1673313
934915,1673808
934915,1725404
934915,1725934
934915,1726066
934915,1726720
934915,1729907
1532261,1724872
1424563,1743882
1628022,1745382
1628022,1748988
1628022,1741185
1628022,1742937
1628022,1746918
1424386,1731886
1424386,1722443
1424386,1743684
1424386,1740540
1424386,1740443
1424386,1740126
1524788,1738748
1422551,1734819
1422551,1742739
1422551,1740071
1422551,1741933
1437617,1741343
1429175,1746688
1429175,1726921
1131739,1743149
1131739,1742510
1241391,1748766
1241391,1747950
1241391,1746636
1241391,1745625
1241391,1743069
1241391,1742535
1241391,1742776
1424896,1741531
1424896,1743986
1424896,1746781
1424896,1742830
1424896,1745532
1044735,1741237
1044735,1746866
1044735,1740119
1044735,1742226
1044735,1742255
1529291,1746659
1529291,1740129
1523596,6170083
1423433,1746703
1423433,1745083
1423433,1740111
1423433,1745020
1226297,1770223
1226118,1734245
1226118,1746666
1226118,1746760
1226118,1746804
1145326,1740871
1145326,1745050
1145326,1742296
1145326,1742709
1425987,1745260
1425987,1740831
1425987,1743706
1425987,1740604
1425987,1740122
1425987,1767942
1538691,1740038
1437209,1746938
1437209,1741674
1437209,1740841
1437209,1740025
1437209,1740095
1437209,1741957
1437443,1740079
1437443,1741341
1141114,1742095
1141114,1746767
1141114,1741993
1541528,1740688
1141430,1745806
1141430,1740097
1141430,1746906
1141430,1746921
1139424,1673420
1139424,1744801
1139424,1743102
1139424,1740014
1139424,1740621
1139424,1742420
1146618,1738662
1146618,1738589
1146618,1740069
1146618,1742354
1146618,1741078
1146618,1740379
1146618,1738409
1436866,1743771
1436866,1740904
1436866,1742712
1537989,1741324
1537989,1740029
1537989,1741188
1537989,1747920
1537989,1740690
1525082,1740759
1522522,1744293
1522522,1741456
1225942,1745275
1225942,1740818
1225942,1741866
1225942,1741581
1225942,1747664
1427918,1741249
1427918,1743114
1427918,1740460
1430562,1724235
1430562,1748049
1425802,1742639
1425802,1745255
1425802,1740062
1428609,1674361
1428609,1674112
1428609,1673250
1428609,1673526
1428609,1673006
1428609,1673355
1428609,1673508
1428609,1746675
1428609,1740010
1428609,1740041
1527858,1738693
1527858,1726167
1527858,1745624
1327233,1673018
1327233,1727949
1327233,1733205
1327233,1734434
1327233,1628335
1426505,1740760
1426505,1740345
1426505,1529677
1426505,1770462
1426505,1670113
1426505,1722378
1223271,1736126
1525275,1735425
1525275,1673157
1525275,1673394
1525275,1729600
1525275,1673041
1525275,1737091
1525275,1623540
1525275,1727889
1525275,1670649
1310082,1674422
1310082,1770389
1310082,1724966
1310082,1771172
1310082,1734820
1310082,1731690
1310082,1734092
1244784,1770359
1244784,17712874
1244784,1745493
1244784,1740971
1244784,1734127
1244784,1723185
1244784,1723757
1244784,1724299
1634005,1771111
1634005,1625304
1634005,1670044
1634005,1674567
1634005,1746762
1423014,1741471
1522371,1744384
1522371,1622214
1522371,1742985
1522371,1740137
1522371,1522115
1522371,1730783
1522371,1729271
1522371,1730933
1437410,1740511
1437410,1741462
1437410,1742161
1437410,1742081
1328061,1731287
1328061,1735629
1734122,1735614
1734122,1743792
1734122,1745783
1734122,1742034
1734122,1742870
1734122,1741660
1530832,1674017
1530832,1730061
1530832,1646507
1530832,1734453
1530832,1735909
1530832,1742094
1530832,1674178
1337624,1729908
1337624,1733668
1337624,1748121
1337624,1673902
1337624,1736088
1337624,1731204
1337624,1748034
1337624,1732800
1337624,1730202
1337624,1629245
1337624,1728114
1540479,1742313
1540479,1741966
1540479,1740424
1540479,1740458
1526191,1746617
1222168,1724643
1222168,1670032
1222168,1727073
1222168,1728058
1222168,1625568
1222168,1622535
1510075,1738733
1438687,1741370
1438687,1740739
1438687,1742028
1438687,1729299
1438687,1741363
1438687,1743750
1438687,1744924
1437588,1730801
1437588,1735269
1437588,1522169
1437588,1670041
1437588,1726092
1437588,1670841
1437588,1730887
1437588,1732186
1437588,1726047
1224564,1734793
1224564,1726127
1224564,1670007
1224564,1522017
1224564,1729865
1224564,1728176
1224564,1731022
1224564,1643379
1424536,1523212
1424536,1673830
1424536,1770165
1424536,1674019
1424536,1730645
1424536,1741605
1338155,1774383
1423121,1730849
1423121,1735017
1423121,1674438
1423121,1734654
1423121,1670707
1423121,1770792
1423121,1771449
1426767,1722287
1426767,1673700
1426767,1740481
1426767,1633549
1426767,1731292
1426767,1673013
1632315,1742919
1236773,1745122
1424467,1535614
1424467,1770483
1424467,1626980
1424467,1522792
1424467,1730490
1424467,1727638
1439319,1727964
1439319,1645277
1439319,1771328
1439319,1727874
1439319,1730327
1439319,1726296
