"No. linea - archivo original","No. linea - archivo registros erroneos","No. columna","Nombre Columna","detalle error"
2,2,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
3,3,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
4,4,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
5,5,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
6,6,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
7,7,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
8,8,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
9,9,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
10,10,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
11,11,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
12,12,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
13,13,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
14,14,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
15,15,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
16,16,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
17,17,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
18,18,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
19,19,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
20,20,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
21,21,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
22,22,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
23,23,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
24,24,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
25,25,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
26,26,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
27,27,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
28,28,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
29,29,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
30,30,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
31,31,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
32,32,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
33,33,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
34,34,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
35,35,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
36,36,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
37,37,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
38,38,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
39,39,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
40,40,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
41,41,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
42,42,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
43,43,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
44,44,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
45,45,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
46,46,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
47,47,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
48,48,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
49,49,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
50,50,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
51,51,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
52,52,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
53,53,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
54,54,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
55,55,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
56,56,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
57,57,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
58,58,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
59,59,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
60,60,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
61,61,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
62,62,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
63,63,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
64,64,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
65,65,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
66,66,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
67,67,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
68,68,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
69,69,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
70,70,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
71,71,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
72,72,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
73,73,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
74,74,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
75,75,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
76,76,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
77,77,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
78,78,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
79,79,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
80,80,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
81,81,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
82,82,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
83,83,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
84,84,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
85,85,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
86,86,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
87,87,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
88,88,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
89,89,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
90,90,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
91,91,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
92,92,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
93,93,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
94,94,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
95,95,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
95,95,2,username,"El campo no correponde a un username en la tabla usarios Ases."
96,96,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
97,97,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
98,98,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
99,99,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
100,100,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
101,101,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
102,102,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
103,103,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
104,104,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
105,105,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
106,106,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
107,107,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
108,108,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
109,109,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
110,110,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
111,111,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
112,112,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
113,113,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
114,114,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
115,115,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
116,116,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
117,117,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
118,118,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
119,119,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
120,120,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
121,121,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
122,122,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
123,123,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
124,124,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
125,125,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
126,126,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
127,127,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
128,128,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
129,129,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
130,130,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
131,131,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
132,132,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
133,133,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
134,134,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
135,135,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
136,136,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
137,137,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
138,138,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
139,139,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
140,140,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
141,141,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
142,142,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
143,143,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
144,144,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
145,145,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
146,146,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
147,147,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
148,148,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
149,149,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
150,150,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
151,151,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
152,152,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
153,153,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
154,154,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
155,155,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
156,156,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
157,157,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
158,158,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
159,159,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
160,160,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
161,161,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
162,162,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
163,163,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
164,164,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
165,165,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
166,166,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
167,167,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
168,168,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
169,169,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
170,170,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
171,171,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
172,172,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
173,173,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
174,174,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
175,175,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
176,176,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
177,177,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
178,178,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
179,179,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
180,180,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
181,181,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
182,182,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
183,183,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
184,184,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
185,185,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
186,186,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
187,187,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
188,188,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
189,189,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
190,190,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
191,191,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
192,192,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
193,193,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
194,194,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
195,195,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
196,196,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
