seguimientoid,username
3917,1725445
3918,1670303
3919,1625513
3920,1623142
3921,1723033
3922,1731819
3923,1734398
3924,1734433
3925,1770389
3926,1624705
3927,1771172
3928,1771172
3929,1623046
3930,1673808
3931,1673808
3934,1522317
3935,1730801
3936,1730801
3937,1730801
3938,1730801
3939,1730801
3940,1730801
3941,1735343
3942,1671111
3944,1674501
3945,1724357
3946,1731387
3947,1731988
3948,1671165
3949,1770058
3950,1673103
3951,1731243
3952,1734559
3953,1730524
3954,1673610
3955,1624705
3956,1723504
3957,1771477
3958,1725203
3959,1670120
3960,1726720
3961,1624894
3962,1522167
3963,1735614
3964,1726720
3965,1522017
3966,1633549
3967,1730887
3968,1729040
3970,1724247
3971,1729872
3972,1730286
3973,1734402
3974,1735201
3975,1734818
3976,1735201
3977,1735201
3978,1735201
3979,1770255
3980,1770255
3981,1770255
3982,1734694
3983,1727073
3984,1734694
3987,1731022
3988,1523052
3989,1535189
3990,1734427
3991,1674359
3992,1734427
3992,1735343
3992,1523052
3992,1734433
3993,1724299
3994,1730169
3995,1734127
3996,1632607
3997,1734874
3998,1673853
3999,1724301
4000,1724301
4001,1629846
4002,1730939
4004,1725403
4005,1733535
4006,1733535
4007,1726572
4008,1674361
4009,1624793
4010,1674211
4011,1674211
4012,1730327
4013,1770065
4014,1673857
4015,1673857
4018,1734767
4019,1734213
4020,1734677
4021,1673847
4022,1670707
4023,1674411
4024,1673192
4025,1673192
4026,1730849
4026,1735017
4026,1735713
4027,1735017
4028,1674549
4029,1674438
4030,1674014
4031,1623129
4032,1623540
4033,1673508
4034,1623129
4035,1727649
4036,1632215
4037,1730849
4038,1673612
4039,1770818
4040,1529748
4041,1729460
4042,1623547
4043,1623547
4044,1727638
4045,1727638
4046,1727638
4047,1623129
4048,1623129
4049,1623129
4050,1770769
4051,1670641
4052,1770140
4053,1670641
4054,1670641
4055,1670641
4056,1770229
4057,1770600
4058,1725707
4059,1725707
4060,1670641
4061,1722732
4061,1725598
4061,1725886
4061,1735235
4061,1735386
4062,1723609
4063,1722732
4063,1725598
4063,1732843
4063,1735235
4064,1722732
4064,1725598
4064,1732843
4064,1735235
4065,1725886
4066,1674637
4067,1525450
4068,1673095
4069,1673095
4070,1622400
4071,1622400
4072,1732843
4073,1674438
4074,1723609
4075,1723127
4076,1723127
4077,1726385
4078,1734163
4079,1734819
4080,1735713
4081,1727052
4082,1735017
4083,1727874
4084,1726292
4085,1734874
4086,1522792
4086,1727874
4086,1727889
4086,1730490
4086,1734092
4087,1735017
4088,1729019
4089,1734874
4090,1735017
4091,1727874
4092,1735713
4093,1735017
4094,1731018
4095,1730849
4097,1735429
4096,1735429
4098,1735429
4099,1730849
4100,1729695
4101,1725435
4102,1734695
4103,1735017
4104,1730490
4105,1735713
4106,1735582
4107,1735713
4108,1735235
4109,1670015
4110,1725352
4111,1725352
4112,1722732
4113,1734092
4114,1622214
4116,1725598
4117,1674358
4118,1673374
4119,1674478
4120,1673713
4121,1730105
4122,1730105
4123,1734831
4124,1734721
4125,1674178
4125,1730105
4125,1725884
4126,1731266
4127,1770196
4128,1770196
4129,1673770
4130,1674017
4131,1734721
4132,1731142
4132,1674271
4132,1674208
4132,1673770
4132,1731266
4133,1731142
4133,1674208
4133,1673770
4133,1731266
4134,1522188
4135,1522188
4136,1670352
4137,1670321
4138,1674632
4139,1724739
4140,1674271
4141,1673923
4142,1674142
4143,1733205
4144,1733205
4145,1734711
4146,1727114
4147,1735051
4149,1673902
4150,1673902
4151,1674753
4152,1674298
4153,1674753
4154,1673013
4155,1673013
4156,1673013
4157,1722287
4158,1673146
4159,1722287
4160,1622535
4161,1622535
4162,1622535
4163,1730957
4166,1674506
4167,1673513
4168,1674365
4169,1734134
4170,1674452
4171,1670314
4172,1674547
4173,1728058
4174,1736586
4175,1630199
4176,1770227
4176,1728058
4176,1734367
4176,1734654
4177,1730368
4178,1770227
4179,1770580
4180,1735071
4181,1632741
4182,1674427
4183,1631194
4184,1730368
4186,1630153
4186,1674751
4186,1670197
4187,1670020
4188,1629445
4189,1674003
4190,1674538
4191,1770034
4192,1771456
4193,1735480
4194,1770008
4195,1725813
4196,1727671
4197,1674751
4198,1673772
4199,1770008
4200,1727875
4201,1770008
4202,1733666
4203,1735334
4204,1674582
4205,1770487
4206,1674474
4207,1770487
4208,1673363
4209,1734134
4210,1674358
4210,1674632
4210,1674474
4210,1673363
4210,1724301
4210,1674478
4211,1734775
4212,1724674
4213,1632741
4214,1632741
4215,1670326
4216,1630153
4217,1670197
4218,1674427
4219,1632741
4220,1724705
4221,1674753
4222,1671091
4223,1736166
4224,1770491
4225,1670581
4226,1670706
4227,1673041
4228,1670504
4229,1733239
4230,1735933
4231,1723033
4232,1670129
4233,1730404
4234,1723523
4235,1726856
4236,1770053
4237,1770053
4238,1674309
4239,1731055
4240,1724684
4241,1673018
4242,1771172
4243,1771172
4244,1770004
4245,1770536
4246,1730818
4247,1628342
4248,1629312
4249,1674479
4250,1771418
4251,1727921
4252,1727758
4253,1770417
4254,1771363
4255,1722329
4256,1631507
4257,1631507
4258,1723492
4259,1673907
4260,1673907
4261,1770058
4262,1723473
4263,1735996
4264,1729849
4265,1723147
4266,1770025
4267,1670136
4268,1724119
4269,1770105
4272,1727872
4273,1727872
4276,1623142
4277,1733132
4278,1730992
4279,1673010
4281,1733230
4280,1733230
4282,1733230
4283,1727963
4284,1624955
4285,1674550
4286,1770900
4287,1770900
4288,1673752
4289,1673784
4290,1725110
4290,1727963
4290,1770271
4290,1770283
4290,1771314
4290,1673752
4291,1730082
4292,1674324
4293,1674324
4294,1771067
4295,1770536
4296,1730169
4297,1736848
4298,1670303
4299,1730204
4300,1735343
4301,1527991
4302,1674299
4303,1735987
4303,1731846
4304,1670841
4305,1674359
4306,1730204
4306,1735136
4306,1736848
4307,1632078
4308,1770818
4309,1673477
4310,1734277
4311,1733535
4312,1673013
4313,1725928
4314,1725928
4316,1735269
4317,1770789
4318,1628686
4319,1770064
4320,1725750
4321,1724794
4322,1731921
4323,1735269
4324,1735909
4325,1724237
4326,1725750
4327,1724625
4328,1725750
4329,1725928
4330,1729048
4331,1770483
4332,1729048
4333,1770789
4334,1770792
4336,1770792
4337,1770025
4338,1670494
4339,1770304
4340,1523052
4341,1535189
4342,1673610
4343,1624705
4344,1729838
4345,1674506
4346,1722287
4347,1725448
4348,1734721
4349,1725448
4350,1734711
4351,1727871
4352,1727871
4353,1725928
4354,1674156
4355,1730981
4356,1727871
4357,1673955
4358,1725925
4359,1674479
4360,1722329
4361,1727758
4362,1631507
4363,1771418
4364,1770417
4365,1725925
4366,1673103
4367,1727921
4368,1725925
4369,1524905
4370,1524905
4371,1725925
4372,1725925
4373,1725925
4374,1727758
4375,1722329
4376,1631507
4377,1727921
4378,1727921
4379,1735875
4380,1730992
4381,1730992
4382,1770644
4383,1724966
4384,1673087
4385,1673844
4386,1734398
4387,1674794
4388,1674002
4389,1730190
4390,1674002
4390,1674309
4390,1673680
4390,1730082
4390,1730190
4390,1730818
4391,1674002
4391,1674309
4391,1673680
4391,1730082
4391,1730190
4391,1730818
4392,1674002
4392,1674309
4392,1673680
4392,1730082
4392,1730190
4392,1730818
4393,1726755
4394,1771305
4395,1771305
4396,1724233
4397,1724233
4398,1725203
4399,1733142
4400,1725172
4401,1558550
4402,1558552
4404,1674324
4405,1558553
4406,1771477
4408,1730804
4409,1673853
4410,1671165
4411,1632607
4412,1734427
4413,1558551
4414,1673355
4415,1674361
4416,1674361
4417,1726066
4418,1726066
4419,1725403
4420,1673313
4421,1725403
4422,1733535
4423,1673313
4424,1726572
4425,1729711
4426,1673313
4427,1673313
4428,1673808
4429,1725934
4430,1725934
4431,1725934
4432,1729907
4433,1729907
4434,1729907
4435,1729907
4436,1729907
4437,1729907
4438,1624704
4439,1624704
4440,1624704
4442,1727901
4443,1630340
4444,1630340
4445,1670687
4446,1725229
4447,1725404
4448,1725404
4449,1725404
4450,1770285
4451,1725404
4452,1725422
4453,1626971
4454,1626971
4455,1626971
4456,1673902
4457,1673847
4458,1727895
4459,1673192
4460,1670375
4461,1674549
4462,1674411
4463,1727895
4464,1670013
4465,1670286
4466,1622535
4467,1632215
4468,1624793
4470,1730645
4471,1733171
4472,1522169
4473,1727874
4474,1522115
4475,1522115
4476,1522165
4477,1522792
4478,1731846
4479,1622214
4480,1673374
4481,1723609
4482,1730645
4483,1674014
4484,1727649
4485,1725598
4486,1726520
4487,1673250
4488,1730365
4489,1722732
4490,1726520
4491,1735582
4492,1735235
4493,1673713
4494,1735582
4495,1732843
4496,1673612
4497,1725435
4498,1529748
4499,1729460
4500,1726572
4501,1670419
4502,1726292
4503,1522175
4504,1770487
4505,1729019
4506,1729019
4507,1734701
4508,1729695
4509,1729177
4510,1735429
4511,1735429
4512,1674298
4513,1729624
4514,1731629
4515,1733625
4516,1735201
4517,1735201
4518,1735201
4519,1770255
4520,1725884
4521,1723321
4522,1737160
4523,1725921
4524,1735743
4525,1730976
4526,1674508
4527,1770255
4528,1730105
4529,1729322
4530,1670015
4531,1734831
4532,1734367
4533,1726431
4534,1674178
4535,1730368
4537,1730472
4538,1670020
4539,1674178
4540,1731410
4541,1674178
4542,1770227
4542,1729865
4542,1730368
4542,1731410
4542,1734367
4542,1734654
4543,1674582
4544,1770196
4545,1730472
4546,1725352
4547,1623270
4548,1727707
4550,1522371
4551,1674175
4552,1522371
4553,1730490
4554,1522158
4555,1631970
4556,1727889
4557,1629445
4558,1674003
4559,1726385
4560,1770034
4561,1523982
4562,1725813
4563,1734124
4564,1734124
4565,1770444
4566,1674744
4567,1673830
4568,1674744
4569,1771111
4570,1523212
4571,1522897
4572,1770580
4573,1673335
4574,1673713
4575,1725921
4576,1725921
4577,1624892
4578,1725884
4579,1673604
4580,1730033
4581,1726520
4582,1734040
4583,1622400
4584,1730105
4585,1622400
4586,1734831
4587,1674550
4588,1673784
4589,1673784
4590,1723248
4591,1674637
4592,1525450
4593,1522158
4594,1673095
4595,1631970
4596,1670352
4597,1523982
4598,1522188
4599,1770444
4600,1522897
4601,1629656
4602,1670585
4603,1673335
4604,1674178
4605,1670351
4606,1730472
4607,1673604
4608,1670351
4609,1674124
4610,1730033
4611,1670351
4612,1673875
4613,1736878
4614,1727875
4615,1733666
4616,1727949
4617,1673876
4617,1673485
4617,1674175
4617,1726431
4617,1727707
4617,1729322
4618,1674416
4619,1674416
4620,1674416
4621,1522175
4622,1673485
4623,1673507
4623,1674124
4624,1729322
4625,1673507
4626,1734163
4627,1729040
4628,1674579
4629,1726497
4631,1734819
4632,1725754
4633,1628342
4634,1628342
4635,1724247
4636,1673420
4637,1729872
4638,1673876
4639,1730286
4640,1724357
4641,1734402
4642,1522116
4643,1734818
4644,1673312
4645,1673312
4646,1674297
4647,1674538
4648,1735480
4649,1673822
4651,1674297
4652,1674297
4653,1674297
4654,1674297
4656,1674297
4657,1725172
4658,1770644
4659,1673013
4660,1725172
4661,1674297
4662,1674297
4663,1725172
4664,1722287
4665,1724233
4666,1731905
4667,1770644
4668,1725172
4669,1735869
4670,1725172
4671,1770811
4672,1725172
4674,1771480
4675,1735869
4676,1735869
4677,1725854
4678,1735869
4679,1735869
4680,1725172
4681,1735869
4682,1735869
4683,1732800
4684,1670113
4685,1673312
4686,1732800
4687,1770004
4688,1770004
4689,1673512
4690,1722378
4691,1770152
4692,1726047
