"No. linea - archivo original","No. linea - archivo registros erroneos","No. columna","Nombre Columna","detalle error"
7,2,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
8,3,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
9,4,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
23,5,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
30,6,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
32,7,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
57,8,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
59,9,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
61,10,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
88,11,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
95,12,2,username,"El campo no correponde a un username en la tabla usarios Ases."
102,13,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
137,14,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
140,15,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
157,16,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
158,17,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
159,18,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
197,19,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
202,20,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
204,21,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
205,22,2,username,"El campo no correponde a un username en la tabla usarios Ases."
207,23,2,username,"El campo no correponde a un username en la tabla usarios Ases."
209,24,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
210,25,2,username,"El campo no correponde a un username en la tabla usarios Ases."
212,26,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
212,26,2,username,"El campo no correponde a un username en la tabla usarios Ases."
219,27,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
224,28,2,username,"El campo no correponde a un username en la tabla usarios Ases."
225,29,2,username,"El campo no correponde a un username en la tabla usarios Ases."
242,30,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
259,31,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
312,32,2,username,"El campo no correponde a un username en la tabla usarios Ases."
321,33,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
339,34,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
357,35,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
360,36,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
361,37,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
362,38,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
363,39,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
366,40,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
371,41,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
379,42,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
380,43,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
394,44,2,username,"El campo no correponde a un username en la tabla usarios Ases."
400,45,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
400,45,2,username,"El campo no correponde a un username en la tabla usarios Ases."
401,46,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
401,46,2,username,"El campo no correponde a un username en la tabla usarios Ases."
402,47,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
402,47,2,username,"El campo no correponde a un username en la tabla usarios Ases."
403,48,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
403,48,2,username,"El campo no correponde a un username en la tabla usarios Ases."
404,49,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
404,49,2,username,"El campo no correponde a un username en la tabla usarios Ases."
405,50,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
405,50,2,username,"El campo no correponde a un username en la tabla usarios Ases."
406,51,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
406,51,2,username,"El campo no correponde a un username en la tabla usarios Ases."
407,52,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
407,52,2,username,"El campo no correponde a un username en la tabla usarios Ases."
408,53,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
408,53,2,username,"El campo no correponde a un username en la tabla usarios Ases."
409,54,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
409,54,2,username,"El campo no correponde a un username en la tabla usarios Ases."
410,55,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
410,55,2,username,"El campo no correponde a un username en la tabla usarios Ases."
411,56,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
411,56,2,username,"El campo no correponde a un username en la tabla usarios Ases."
412,57,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
412,57,2,username,"El campo no correponde a un username en la tabla usarios Ases."
413,58,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
413,58,2,username,"El campo no correponde a un username en la tabla usarios Ases."
414,59,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
414,59,2,username,"El campo no correponde a un username en la tabla usarios Ases."
415,60,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
415,60,2,username,"El campo no correponde a un username en la tabla usarios Ases."
416,61,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
416,61,2,username,"El campo no correponde a un username en la tabla usarios Ases."
417,62,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
417,62,2,username,"El campo no correponde a un username en la tabla usarios Ases."
418,63,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
418,63,2,username,"El campo no correponde a un username en la tabla usarios Ases."
419,64,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
419,64,2,username,"El campo no correponde a un username en la tabla usarios Ases."
420,65,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
420,65,2,username,"El campo no correponde a un username en la tabla usarios Ases."
421,66,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
421,66,2,username,"El campo no correponde a un username en la tabla usarios Ases."
422,67,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
422,67,2,username,"El campo no correponde a un username en la tabla usarios Ases."
423,68,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
423,68,2,username,"El campo no correponde a un username en la tabla usarios Ases."
424,69,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
424,69,2,username,"El campo no correponde a un username en la tabla usarios Ases."
425,70,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
425,70,2,username,"El campo no correponde a un username en la tabla usarios Ases."
426,71,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
